iter	Passed	Remaining
154	802	4374
155	806	4362
156	810	4351
157	814	4340
158	818	4328
159	822	4319
160	826	4309
161	831	4303
162	836	4296
163	840	4286
164	845	4277
165	849	4266
166	853	4258
167	858	4250
168	862	4240
169	866	4229
170	869	4216
171	873	4203
172	876	4191
173	880	4178
174	883	4165
175	887	4157
176	891	4145
177	894	4132
178	898	4123
179	903	4114
180	907	4105
181	910	4094
182	914	4083
183	919	4076
184	923	4068
185	927	4057
186	930	4046
187	935	4039
188	939	4031
189	943	4020
190	946	4008
191	950	4000
192	954	3990
193	957	3978
194	961	3967
195	964	3957
196	968	3949
197	972	3938
198	976	3928
199	979	3918
200	983	3910
201	987	3901
202	990	3890
203	995	3882
204	999	3875
205	1003	3867
206	1007	3858
207	1011	3850
208	1014	3841
209	1018	3832
210	1022	3823
211	1026	3814
212	1029	3804
213	1033	3796
214	1037	3788
215	1041	3781
216	1045	3772
217	1049	3764
218	1053	3757
219	1057	3749
220	1061	3741
221	1065	3733
222	1069	3726
223	1073	3718
224	1077	3710
225	1081	3704
226	1085	3697
227	1089	3690
228	1093	3682
229	1097	3675
230	1101	3667
231	1105	3659
232	1109	3651
233	1113	3646
234	1118	3640
235	1122	3633
236	1131	3641
237	1137	3641
238	1142	3638
239	1148	3636
240	1153	3631
241	1157	3626
242	1163	3623
243	1168	3619
244	1172	3613
245	1177	3609
246	1182	3603
247	1185	3595
248	1189	3588
249	1194	3582
250	1198	3575
251	1202	3568
252	1205	3560
253	1210	3554
254	1214	3548
255	1218	3540
256	1222	3534
257	1226	3527
258	1230	3519
259	1233	3511
260	1237	3503
261	1241	3495
262	1244	3488
263	1249	3482
264	1253	3476
265	1257	3469
266	1261	3463
267	1265	3455
268	1268	3448
269	1272	3439
270	1276	3432
271	1280	3425
272	1283	3419
273	1287	3412
274	1292	3406
275	1295	3399
276	1299	3391
277	1302	3383
278	1306	3375
279	1310	3369
280	1313	3362
281	1317	3354
282	1321	3347
283	1325	3341
284	1329	3334
285	1332	3327
286	1336	3319
287	1340	3312
288	1344	3306
289	1348	3300
290	1351	3293
291	1355	3286
292	1359	3279
293	1363	3273
294	1366	3265
295	1370	3258
296	1374	3252
297	1377	3244
298	1380	3237
299	1384	3230
300	1388	3224
301	1392	3219
302	1396	3212
303	1399	3204
304	1403	3198
305	1407	3192
306	1411	3186
307	1414	3178
308	1418	3173
309	1422	3166
310	1426	3159
311	1429	3152
312	1433	3147
313	1437	3141
314	1441	3135
315	1445	3129
316	1449	3122
317	1453	3116
318	1457	3110
319	1461	3104
320	1464	3097
321	1467	3090
322	1471	3084
323	1475	3077
324	1478	3070
325	1481	3063
326	1485	3056
327	1488	3050
328	1492	3043
329	1496	3038
330	1499	3031
331	1503	3024
332	1507	3019
333	1511	3013
334	1514	3006
335	1518	3000
336	1522	2995
337	1525	2988
338	1529	2982
339	1532	2975
340	1536	2968
341	1540	2963
342	1544	2958
343	1547	2951
344	1551	2944
345	1555	2939
346	1560	2935
347	1563	2929
348	1567	2923
349	1571	2917
350	1574	2911
351	1578	2905
352	1581	2899
353	1585	2892
354	1589	2888
355	1593	2882
356	1596	2875
357	1600	2870
358	1605	2866
359	1609	2860
360	1612	2854
361	1616	2848
362	1619	2842
363	1623	2836
364	1626	2830
365	1630	2824
366	1634	2818
367	1638	2813
368	1641	2807
369	1645	2800
370	1648	2795
371	1653	2790
372	1657	2785
373	1660	2780
374	1664	2774
375	1668	2768
376	1672	2764
377	1676	2758
378	1679	2752
379	1683	2746
380	1687	2741
381	1690	2735
382	1694	2729
383	1697	2723
384	1701	2717
385	1704	2711
386	1708	2706
387	1712	2701
388	1715	2695
389	1719	2689
390	1723	2684
391	1727	2678
392	1731	2673
393	1735	2669
394	1739	2664
395	1743	2659
396	1747	2653
397	1751	2649
398	1756	2645
399	1760	2640
400	1764	2635
401	1768	2631
402	1773	2627
403	1777	2622
404	1781	2617
405	1786	2613
406	1790	2608
407	1794	2603
408	1797	2597
409	1802	2593
410	1805	2587
411	1809	2583
412	1813	2578
413	1819	2574
414	1823	2570
415	1828	2566
416	1832	2562
417	1836	2556
418	1840	2551
419	1843	2546
420	1847	2540
421	1851	2535
422	1855	2530
423	1859	2525
424	1863	2520
425	1867	2516
426	1870	2510
427	1875	2505
428	1878	2500
429	1882	2495
430	1886	2490
431	1889	2484
432	1893	2479
433	1897	2474
434	1900	2468
435	1904	2463
436	1908	2458
437	1911	2453
438	1915	2447
439	1919	2442
440	1922	2437
441	1926	2432
442	1930	2426
443	1934	2421
444	1937	2416
445	1941	2411
446	1944	2406
447	1948	2400
448	1951	2395
449	1955	2390
450	1960	2386
451	1963	2381
452	1967	2375
453	1971	2371
454	1975	2366
455	1979	2361
456	1983	2356
457	1987	2351
458	1991	2346
459	1994	2341
460	1998	2336
461	2001	2331
462	2005	2326
463	2009	2320
464	2012	2315
465	2016	2310
466	2019	2305
467	2023	2300
468	2027	2295
469	2030	2289
470	2034	2284
471	2038	2279
472	2041	2274
473	2044	2269
474	2048	2264
475	2051	2258
476	2055	2254
477	2059	2249
478	2063	2244
479	2067	2239
480	2071	2234
481	2074	2229
482	2078	2224
483	2082	2219
484	2086	2215
485	2089	2210
486	2093	2204
487	2096	2199
488	2099	2194
489	2103	2189
490	2107	2184
491	2110	2179
492	2113	2173
493	2117	2169
494	2121	2164
495	2125	2159
496	2129	2155
497	2132	2150
498	2136	2145
499	2140	2140
500	2143	2135
501	2147	2130
502	2150	2125
503	2154	2120
504	2158	2115
505	2161	2110
506	2164	2105
507	2168	2100
508	2172	2095
509	2176	2091
510	2180	2086
511	2183	2081
512	2188	2077
513	2191	2072
514	2195	2067
515	2198	2062
516	2202	2057
517	2205	2052
518	2209	2047
519	2212	2042
520	2216	2038
521	2220	2033
522	2223	2028
523	2227	2023
524	2231	2018
525	2235	2014
526	2239	2010
527	2243	2005
528	2247	2000
529	2250	1996
530	2254	1991
531	2257	1986
532	2261	1981
533	2265	1976
534	2269	1972
535	2273	1967
536	2276	1962
537	2280	1958
538	2284	1953
539	2287	1948
540	2291	1943
541	2295	1939
542	2299	1935
543	2302	1930
544	2306	1925
545	2309	1920
546	2313	1915
547	2317	1911
548	2321	1906
549	2325	1902
550	2329	1897
551	2333	1893
552	2336	1888
553	2340	1884
554	2344	1879
555	2347	1875
556	2351	1870
557	2355	1865
558	2358	1860
559	2362	1856
560	2366	1851
561	2370	1847
562	2373	1842
563	2377	1837
564	2381	1833
565	2385	1828
566	2388	1824
567	2392	1819
568	2396	1814
569	2400	1810
570	2404	1806
571	2407	1801
572	2411	1796
573	2415	1792
574	2418	1787
575	2422	1783
576	2425	1778
577	2429	1773
578	2433	1769
579	2436	1764
580	2440	1759
581	2443	1754
582	2447	1750
583	2451	1746
584	2454	1741
585	2457	1736
586	2461	1732
587	2465	1727
588	2469	1722
589	2472	1718
590	2476	1713
591	2480	1709
592	2483	1704
593	2487	1700
594	2491	1696
595	2495	1691
596	2499	1687
597	2503	1683
598	2507	1678
599	2511	1674
600	2515	1670
601	2519	1665
602	2523	1661
603	2527	1656
604	2530	1652
605	2534	1647
606	2538	1643
607	2541	1638
608	2545	1634
609	2548	1629
610	2552	1625
611	2556	1620
612	2559	1616
613	2564	1611
614	2568	1607
615	2571	1603
616	2576	1599
617	2580	1595
618	2585	1591
619	2589	1587
620	2594	1583
621	2599	1580
622	2606	1577
623	2610	1573
624	2615	1569
625	2619	1564
626	2622	1560
627	2626	1556
628	2631	1552
629	2635	1547
630	2638	1543
631	2642	1538
632	2646	1534
633	2650	1530
634	2653	1525
635	2657	1521
636	2661	1516
637	2665	1512
638	2668	1507
639	2671	1502
640	2675	1498
641	2679	1493
642	2682	1489
643	2685	1484
644	2689	1480
645	2693	1476
646	2698	1472
647	2702	1467
648	2706	1463
649	2710	1459
650	2714	1455
651	2717	1450
652	2722	1446
653	2727	1442
654	2731	1438
655	2735	1434
656	2739	1430
657	2743	1425
658	2746	1421
659	2750	1416
660	2753	1412
661	2758	1408
662	2762	1404
663	2767	1400
664	2770	1395
665	2775	1391
666	2778	1387
667	2782	1383
668	2786	1378
669	2791	1374
670	2795	1370
671	2799	1366
672	2803	1361
673	2807	1357
674	2811	1353
675	2815	1349
676	2820	1345
677	2824	1341
678	2828	1337
679	2832	1332
680	2835	1328
681	2839	1324
682	2843	1319
683	2846	1315
684	2850	1310
685	2854	1306
686	2858	1302
687	2861	1297
688	2864	1293
689	2868	1288
690	2872	1284
691	2876	1280
692	2880	1275
693	2883	1271
694	2887	1266
695	2891	1263
696	2895	1258
697	2898	1254
698	2902	1249
699	2906	1245
700	2910	1241
701	2913	1236
702	2917	1232
703	2921	1228
704	2924	1223
705	2928	1219
706	2932	1215
707	2936	1210
708	2940	1206
709	2944	1202
710	2947	1198
711	2951	1193
712	2954	1189
713	2958	1185
714	2962	1180
715	2966	1176
716	2970	1172
717	2974	1168
718	2977	1163
719	2981	1159
720	2984	1155
721	2988	1150
722	2992	1146
723	2995	1142
724	2999	1137
725	3003	1133
726	3007	1129
727	3011	1125
728	3014	1120
729	3018	1116
730	3022	1112
731	3026	1108
732	3030	1103
733	3034	1099
734	3038	1095
735	3041	1091
736	3045	1086
737	3048	1082
738	3052	1078
739	3056	1074
740	3060	1069
741	3064	1065
742	3067	1061
743	3071	1056
744	3075	1052
745	3078	1048
746	3081	1043
747	3085	1039
748	3089	1035
749	3093	1031
750	3097	1026
751	3101	1022
752	3105	1018
753	3109	1014
754	3112	1009
755	3116	1005
756	3120	1001
757	3123	997
758	3127	993
759	3130	988
760	3135	984
761	3138	980
762	3142	975
763	3145	971
764	3150	967
765	3154	963
766	3157	959
767	3161	954
768	3164	950
769	3168	946
770	3172	942
771	3176	938
772	3180	933
773	3183	929
774	3187	925
775	3190	921
776	3194	916
777	3197	912
778	3201	908
779	3204	903
780	3208	899
781	3212	895
782	3216	891
783	3219	887
784	3223	882
785	3227	878
786	3230	874
787	3234	870
788	3239	866
789	3243	862
790	3246	857
791	3250	853
792	3253	849
793	3257	845
794	3261	841
795	3265	836
796	3268	832
797	3272	828
798	3276	824
799	3280	820
800	3283	815
801	3287	811
802	3290	807
803	3294	803
804	3297	798
805	3301	794
806	3304	790
807	3308	786
808	3312	782
809	3316	777
810	3319	773
811	3322	769
812	3326	765
813	3330	760
814	3333	756
815	3337	752
816	3340	748
817	3344	744
818	3348	740
819	3352	735
820	3355	731
821	3359	727
822	3363	723
823	3366	719
824	3370	714
825	3374	710
826	3377	706
827	3381	702
828	3385	698
829	3389	694
830	3393	690
831	3397	685
832	3400	681
833	3404	677
834	3408	673
835	3412	669
836	3416	665
837	3419	661
838	3424	657
839	3427	652
840	3431	648
841	3434	644
842	3438	640
843	3442	636
844	3445	632
845	3449	627
846	3453	623
847	3457	619
848	3461	615
849	3465	611
850	3468	607
851	3471	603
852	3475	598
853	3479	594
854	3483	590
855	3486	586
856	3490	582
857	3494	578
858	3497	574
859	3501	570
860	3506	566
861	3510	561
862	3513	557
863	3517	553
864	3522	549
865	3525	545
866	3529	541
867	3532	537
868	3537	533
869	3541	529
870	3545	525
871	3548	520
872	3552	516
873	3556	512
874	3560	508
875	3563	504
876	3567	500
877	3571	496
878	3575	492
879	3578	488
880	3582	483
881	3586	479
882	3590	475
883	3593	471
884	3596	467
885	3600	463
886	3604	459
887	3607	455
888	3611	450
889	3615	446
890	3619	442
891	3622	438
892	3626	434
893	3629	430
894	3633	426
895	3637	422
896	3641	418
897	3645	414
898	3649	409
899	3653	405
900	3657	401
901	3660	397
902	3664	393
903	3668	389
904	3672	385
905	3676	381
906	3680	377
907	3685	373
908	3688	369
909	3692	365
910	3696	361
911	3700	357
912	3705	353
913	3709	349
914	3713	344
915	3717	340
916	3721	336
917	3725	332
918	3729	328
919	3733	324
920	3737	320
921	3741	316
922	3745	312
923	3749	308
924	3754	304
925	3758	300
926	3761	296
927	3766	292
928	3770	288
929	3774	284
930	3778	280
931	3782	275
932	3786	271
933	3790	267
934	3794	263
935	3798	259
936	3803	255
937	3807	251
938	3811	247
939	3815	243
940	3819	239
941	3822	235
942	3826	231
943	3830	227
944	3834	223
945	3837	219
946	3840	214
947	3844	210
948	3848	206
949	3852	202
950	3855	198
951	3859	194
952	3863	190
953	3867	186
954	3872	182
955	3877	178
956	3881	174
957	3885	170
958	3890	166
959	3895	162
960	3903	158
961	3909	154
962	3914	150
963	3919	146
964	3923	142
965	3927	138
966	3931	134
967	3935	130
968	3938	126
969	3942	121
970	3946	117
971	3950	113
972	3954	109
973	3957	105
974	3961	101
975	3965	97
976	3969	93
977	3973	89
978	3976	85
979	3980	81
980	3984	77
981	3987	73
982	3991	69
983	3995	64
984	3999	60
985	4003	56
986	4006	52
987	4010	48
988	4014	44
989	4017	40
990	4021	36
991	4024	32
992	4028	28
993	4032	24
994	4035	20
995	4039	16
996	4043	12
997	4047	8
998	4051	4
999	4055	0
